#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         501     1.00433     1.00137  5.6768e-05
         502     1.00435     1.00137 5.69656e-05
         503     1.00437     1.00138 5.71635e-05
         504     1.00439     1.00139 5.73619e-05
         505     1.00441     1.00139 5.75606e-05
         506     1.00443      1.0014 5.77598e-05
         507     1.00445      1.0014 5.79593e-05
         508     1.00447     1.00141 5.81593e-05
         509     1.00449     1.00142 5.83596e-05
         510     1.00451     1.00142 5.85604e-05
         511     1.00453     1.00143 5.87616e-05
         512     1.00455     1.00143 5.89632e-05
         513     1.00458     1.00144 5.91652e-05
         514      1.0046     1.00145 5.93676e-05
         515     1.00462     1.00145 5.95704e-05
         516     1.00464     1.00146 5.97736e-05
         517     1.00466     1.00147 5.99773e-05
         518     1.00468     1.00147 6.01813e-05
         519      1.0047     1.00148 6.03858e-05
         520     1.00472     1.00148 6.05907e-05
         521     1.00474     1.00149  6.0796e-05
         522     1.00476      1.0015 6.10017e-05
         523     1.00478      1.0015 6.12078e-05
         524      1.0048     1.00151 6.14143e-05
         525     1.00483     1.00152 6.16213e-05
         526     1.00485     1.00152 6.18287e-05
         527     1.00487     1.00153 6.20365e-05
         528     1.00489     1.00153 6.22447e-05
         529     1.00491     1.00154 6.24534e-05
         530     1.00493     1.00155 6.26624e-05
         531     1.00495     1.00155 6.28719e-05
         532     1.00498     1.00156 6.30818e-05
         533       1.005     1.00157 6.32922e-05
         534     1.00502     1.00157  6.3503e-05
         535     1.00504     1.00158 6.37142e-05
         536     1.00506     1.00159 6.39258e-05
         537     1.00508     1.00159 6.41378e-05
         538     1.00511      1.0016 6.43503e-05
         539     1.00513     1.00161 6.45632e-05
         540     1.00515     1.00161 6.47766e-05
         541     1.00517     1.00162 6.49904e-05
         542      1.0052     1.00163 6.52046e-05
         543     1.00522     1.00163 6.54192e-05
         544     1.00524     1.00164 6.56343e-05
         545     1.00526     1.00165 6.58498e-05
         546     1.00529     1.00165 6.60658e-05
         547     1.00531     1.00166 6.62822e-05
         548     1.00533     1.00167  6.6499e-05
         549     1.00535     1.00167 6.67163e-05
         550     1.00538     1.00168  6.6934e-05
         551      1.0054     1.00169 6.71521e-05
         552     1.00542     1.00169 6.73707e-05
         553     1.00545      1.0017 6.75898e-05
         554     1.00547     1.00171 6.78093e-05
         555     1.00549     1.00171 6.80292e-05
         556     1.00551     1.00172 6.82496e-05
         557     1.00554     1.00173 6.84704e-05
         558     1.00556     1.00173 6.86917e-05
         559     1.00558     1.00174 6.89134e-05
         560     1.00561     1.00175 6.91356e-05
